项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,1 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0.00 ,0,469420,0.00%,0.00%,50.48%,1.16:30回转窑投料生产,,,,
,SRC生料,,0,121713,,,,,,,,
回转窑,OPC熟料,1186 ,1186,284141,31.25%,31.25%,56.43%,,,,,
,SRC熟料,,0,67952,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,2 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0 ,0,469420,0.00%,0.00%,50.07%,1.立磨改生产SRC生料，业主要求1号均化库位降至20米以下开磨。,,,,
,SRC生料,,0,121713,,,,,,,,
回转窑,OPC熟料,4530 ,5716,288670,100.00%,65.63%,56.78%,,,,,
,SRC熟料,,0,67952,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,3 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0 ,0,469420,64.25%,21.42%,50.19%,1.立磨改生产SRC生料，业主要求1号均化库位降至20米以下开磨。8:35立磨开机运行。,,,,
,SRC生料,5974 ,5974,127687,,,,,,,,
回转窑,OPC熟料,4389 ,10105,293059,100.00%,77.08%,57.14%,,,,,
,SRC熟料,,0,67952,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,4 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0 ,0,469420,100.00%,41.06%,50.59%,,,,,
,SRC/OWC生料,9390 ,15364,137077,,,,,,,,
回转窑,OPC熟料,0 ,10105,293059,100.00%,82.81%,57.48%,,,,,
,SRC/OWC熟料,4593 ,4593,72544,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,5 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,,0,469420,100.00%,52.85%,50.98%,,,,,
,SRC/OWC生料,9409 ,24773,146486,,,,,,,,
回转窑,OPC熟料,,10105,293059,100.00%,86.25%,57.82%,,,,,
,SRC/OWC熟料,4889 ,9481,77433,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,6 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,,0,469420,100.00%,60.71%,51.37%,,,,,
,SRC/OWC生料,9382 ,34155,155868,,,,,,,,
回转窑,OPC熟料,,10105,293059,100.00%,88.54%,58.16%,,,,,
,SRC/OWC熟料,4959 ,14441,82392,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,7 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,,0,469420,69.58%,61.98%,51.51%,"1.6:00-6:18入磨分格轮过载跳停，立磨连锁停机；
2.17:00-24:00均化库库满停机；",,,,
,SRC/OWC生料,6405,40560,162273,,,,,,,,
回转窑,OPC熟料,,10105,293059,100.00%,90.18%,58.49%,,,,,
,SRC/OWC熟料,5197 ,19638,87589,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,8 ,日,,,,,,,,
