项目生产信息,,,,,,,,
,,,,,,,,
2024年,1 ,月,1 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0.00 ,0,0,0.00%,0.00%,0.00%,计划检修。
,SRC生料,,0,0,,,,
回转窑,OPC熟料,0.00 ,0,0,0.00%,0.00%,0.00%,
,SRC熟料,,0,0,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,1 ,月,2 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,0,0.00%,0.00%,0.00%,计划检修。
,SRC生料,,0,0,,,,
回转窑,OPC熟料,0 ,0,0,0.00%,0.00%,0.00%,
,SRC熟料,,0,0,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,1 ,月,3 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,0,0.00%,0.00%,0.00%,计划检修。
,SRC生料,,0,0,,,,
回转窑,OPC熟料,0.00 ,0,0,0.00%,0.00%,0.00%,
,SRC熟料,,0,0,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,1 ,月,4 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,0,0.00%,0.00%,0.00%,窑20:00点火升温。
,SRC/OWC生料,0 ,0,0,,,,
回转窑,OPC熟料,0 ,0,0,0.00%,0.00%,0.00%,
,SRC/OWC熟料,0 ,0,0,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,1 ,月,5 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,3620 ,3620,3620,37.92%,7.58%,7.58%,"1、立磨14:54开机。
2、窑13:10投料。"
,SRC/OWC生料,,0,0,,,,
回转窑,OPC熟料,2345 ,2345,2345,45.13%,9.03%,9.03%,
,SRC/OWC熟料,,0,0,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,1 ,月,6 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,9775 ,13395,13395,100.00%,22.99%,22.99%,
,SRC/OWC生料,,0,0,,,,
回转窑,OPC熟料,6951 ,9296,9296,100.00%,24.19%,24.19%,
,SRC/OWC熟料,,0,0,,,,
项目生产信息,,,,,,,,
,,,,,,,,
